key,game_str,play_id,safe_out
1902_26_TeamMH_TeamA3_71,1902_26_TeamMH_TeamA3,71,
1902_26_TeamMH_TeamA3_135,1902_26_TeamMH_TeamA3,135,
1902_26_TeamMH_TeamA3_141,1902_26_TeamMH_TeamA3,141,
1902_26_TeamMH_TeamA3_196,1902_26_TeamMH_TeamA3,196,
1902_26_TeamMH_TeamA3_259,1902_26_TeamMH_TeamA3,259,
1902_27_TeamMH_TeamA3_88,1902_27_TeamMH_TeamA3,88,
1902_28_TeamMC_TeamA1_130,1902_28_TeamMC_TeamA1,130,
1902_28_TeamMC_TeamA1_147,1902_28_TeamMC_TeamA1,147,
1902_30_TeamMF_TeamA2_114,1902_30_TeamMF_TeamA2,114,
1902_30_TeamMF_TeamA2_139,1902_30_TeamMF_TeamA2,139,
1902_31_TeamMF_TeamA2_101,1902_31_TeamMF_TeamA2,101,
1903_01_TeamNE_TeamA2_136,1903_01_TeamNE_TeamA2,136,
1903_01_TeamNE_TeamA2_229,1903_01_TeamNE_TeamA2,229,
1903_01_TeamNE_TeamA2_259,1903_01_TeamNE_TeamA2,259,
1903_01_TeamNE_TeamA2_284,1903_01_TeamNE_TeamA2,284,
1903_01_TeamNE_TeamA2_301,1903_01_TeamNE_TeamA2,301,
1903_02_TeamNE_TeamA2_36,1903_02_TeamNE_TeamA2,36,
1903_03_TeamNE_TeamA2_204,1903_03_TeamNE_TeamA2,204,
1903_05_TeamND_TeamA2_78,1903_05_TeamND_TeamA2,78,
1903_05_TeamND_TeamA2_114,1903_05_TeamND_TeamA2,114,
1903_05_TeamND_TeamA2_214,1903_05_TeamND_TeamA2,214,
1903_06_TeamND_TeamA2_15,1903_06_TeamND_TeamA2,15,
1903_06_TeamND_TeamA2_71,1903_06_TeamND_TeamA2,71,
1903_06_TeamND_TeamA2_141,1903_06_TeamND_TeamA2,141,
1903_06_TeamND_TeamA2_173,1903_06_TeamND_TeamA2,173,
1903_07_TeamND_TeamA2_57,1903_07_TeamND_TeamA2,57,
1903_07_TeamND_TeamA2_63,1903_07_TeamND_TeamA2,63,
1903_07_TeamND_TeamA2_101,1903_07_TeamND_TeamA2,101,
1903_07_TeamND_TeamA2_138,1903_07_TeamND_TeamA2,138,
1903_07_TeamND_TeamA2_168,1903_07_TeamND_TeamA2,168,
1903_07_TeamND_TeamA2_204,1903_07_TeamND_TeamA2,204,
1903_08_TeamNJ_TeamB_91,1903_08_TeamNJ_TeamB,91,
1903_09_TeamNJ_TeamB_83,1903_09_TeamNJ_TeamB,83,
1903_09_TeamNJ_TeamB_104,1903_09_TeamNJ_TeamB,104,
1903_09_TeamNJ_TeamB_113,1903_09_TeamNJ_TeamB,113,
1903_09_TeamNJ_TeamB_209,1903_09_TeamNJ_TeamB,209,
1903_10_TeamNJ_TeamB_47,1903_10_TeamNJ_TeamB,47,
1903_10_TeamNJ_TeamB_49,1903_10_TeamNJ_TeamB,49,
1903_10_TeamNJ_TeamB_155,1903_10_TeamNJ_TeamB,155,
1903_11_TeamNC_TeamA1_114,1903_11_TeamNC_TeamA1,114,
1903_11_TeamNC_TeamA1_117,1903_11_TeamNC_TeamA1,117,
1903_12_TeamNC_TeamA1_178,1903_12_TeamNC_TeamA1,178,
1903_12_TeamNC_TeamA1_190,1903_12_TeamNC_TeamA1,190,
1903_13_TeamNG_TeamA3_150,1903_13_TeamNG_TeamA3,150,
1903_13_TeamNG_TeamA3_215,1903_13_TeamNG_TeamA3,215,
1903_14_TeamNG_TeamA3_42,1903_14_TeamNG_TeamA3,42,
1903_14_TeamNG_TeamA3_69,1903_14_TeamNG_TeamA3,69,
1903_15_TeamNG_TeamA3_137,1903_15_TeamNG_TeamA3,137,
1903_15_TeamNG_TeamA3_228,1903_15_TeamNG_TeamA3,228,
1903_16_TeamNI_TeamA3_74,1903_16_TeamNI_TeamA3,74,
1903_16_TeamNI_TeamA3_212,1903_16_TeamNI_TeamA3,212,
1903_17_TeamNI_TeamA3_167,1903_17_TeamNI_TeamA3,167,
1903_18_TeamNI_TeamA3_15,1903_18_TeamNI_TeamA3,15,
1903_19_TeamNL_TeamB_25,1903_19_TeamNL_TeamB,25,
1903_20_TeamNL_TeamB_149,1903_20_TeamNL_TeamB,149,
1903_20_TeamNL_TeamB_232,1903_20_TeamNL_TeamB,232,
1903_21_TeamNL_TeamB_164,1903_21_TeamNL_TeamB,164,
1903_22_TeamNA_TeamA1_64,1903_22_TeamNA_TeamA1,64,
1903_22_TeamNA_TeamA1_139,1903_22_TeamNA_TeamA1,139,
1903_22_TeamNA_TeamA1_162,1903_22_TeamNA_TeamA1,162,
1903_22_TeamNA_TeamA1_166,1903_22_TeamNA_TeamA1,166,
1903_22_TeamNA_TeamA1_187,1903_22_TeamNA_TeamA1,187,
1903_22_TeamNA_TeamA1_223,1903_22_TeamNA_TeamA1,223,
1903_22_TeamNA_TeamA1_248,1903_22_TeamNA_TeamA1,248,
1903_23_TeamNA_TeamA1_137,1903_23_TeamNA_TeamA1,137,
1903_23_TeamNA_TeamA1_148,1903_23_TeamNA_TeamA1,148,
1903_24_TeamNA_TeamA1_69,1903_24_TeamNA_TeamA1,69,
1903_24_TeamNA_TeamA1_76,1903_24_TeamNA_TeamA1,76,
1903_25_TeamNH_TeamA3_87,1903_25_TeamNH_TeamA3,87,
1903_25_TeamNH_TeamA3_248,1903_25_TeamNH_TeamA3,248,
1903_25_TeamNK_TeamB_42,1903_25_TeamNK_TeamB,42,
1903_25_TeamNK_TeamB_60,1903_25_TeamNK_TeamB,60,
1903_25_TeamNK_TeamB_114,1903_25_TeamNK_TeamB,114,
1903_26_TeamNH_TeamA3_188,1903_26_TeamNH_TeamA3,188,
1903_26_TeamNH_TeamA3_205,1903_26_TeamNH_TeamA3,205,
1903_26_TeamNK_TeamB_217,1903_26_TeamNK_TeamB,217,
1903_29_TeamNF_TeamA2_20,1903_29_TeamNF_TeamA2,20,
1903_29_TeamNF_TeamA2_29,1903_29_TeamNF_TeamA2,29,
1903_29_TeamNF_TeamA2_79,1903_29_TeamNF_TeamA2,79,
1903_29_TeamNF_TeamA2_85,1903_29_TeamNF_TeamA2,85,
1903_29_TeamNF_TeamA2_120,1903_29_TeamNF_TeamA2,120,
1903_29_TeamNF_TeamA2_122,1903_29_TeamNF_TeamA2,122,
1903_29_TeamNF_TeamA2_137,1903_29_TeamNF_TeamA2,137,
1903_29_TeamNF_TeamA2_159,1903_29_TeamNF_TeamA2,159,
1903_29_TeamNF_TeamA2_183,1903_29_TeamNF_TeamA2,183,
1903_29_TeamNF_TeamA2_242,1903_29_TeamNF_TeamA2,242,
1903_30_TeamNB_TeamA1_179,1903_30_TeamNB_TeamA1,179,
1903_30_TeamNF_TeamA2_77,1903_30_TeamNF_TeamA2,77,
1903_30_TeamNF_TeamA2_96,1903_30_TeamNF_TeamA2,96,
1903_30_TeamNF_TeamA2_195,1903_30_TeamNF_TeamA2,195,
1903_31_TeamNB_TeamA1_7,1903_31_TeamNB_TeamA1,7,
1903_31_TeamNB_TeamA1_25,1903_31_TeamNB_TeamA1,25,
1903_32_TeamNB_TeamA1_69,1903_32_TeamNB_TeamA1,69,
